ID,Сумма баллов,Что делает ИИ разумным?,Баллы — Что делает ИИ разумным?,Почему системы искусственного интеллекта ведут себя разумно?,Баллы — Почему системы искусственного интеллекта ведут себя разумно?,В каких областях люди по-прежнему превосходят искусственный интеллект?,Баллы — В каких областях люди по-прежнему превосходят искусственный интеллект?,Что определяет поведение систем ИИ ?,Баллы — Что определяет поведение систем ИИ ?,Чем похожи люди и ИИ?,Баллы — Чем похожи люди и ИИ?,"Сколько сервисов ИИ вы знаете?
","Баллы — Сколько сервисов ИИ вы знаете?
","Есть ли государства в мире, которые регулируют деятельность ИИ на законодательном уровне?
","Баллы — Есть ли государства в мире, которые регулируют деятельность ИИ на законодательном уровне?
",Как системы искусственного интеллекта принимают решения?,Баллы — Как системы искусственного интеллекта принимают решения?,"Предполагается, что ИИ делит изображения на значимые части. Входными данными всегда является изображение. Какая пара вход-выход не имеет значения:","Баллы — Предполагается, что ИИ делит изображения на значимые части. Входными данными всегда является изображение. Какая пара вход-выход не имеет значения:","В ИИ можно провести различие между ""слабым"" и ""сильным"" ИИ. К ""слабому ИИ"" относятся  Системы искусственного интеллекта, обладающие возможностями в ограниченной области. С другой стороны, считаетс...","Баллы — В ИИ можно провести различие между ""слабым"" и ""сильным"" ИИ. К ""слабому ИИ"" относятся  Системы искусственного интеллекта, обладающие возможностями в ограниченной области. С другой стороны, считаетс...",Чего не может сделать слабый ИИ?,Баллы — Чего не может сделать слабый ИИ?,"Представьте, что вы общаетесь с ассистентом в Интернете. Как бы вы поступили, чтобы выяснить, с кем вы общаетесь - с человеком или с искусственным интеллектом? ","Баллы — Представьте, что вы общаетесь с ассистентом в Интернете. Как бы вы поступили, чтобы выяснить, с кем вы общаетесь - с человеком или с искусственным интеллектом? ","Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?","Баллы — Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?","Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?2","Баллы — Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?2",Какие этические принципы следует учитывать при разработке ИИ?,Баллы — Какие этические принципы следует учитывать при разработке ИИ?,Каковы основные риски при использовании ИИ для прогнозирования действий полиции?,Баллы — Каковы основные риски при использовании ИИ для прогнозирования действий полиции?,Какие социальные проблемы чаще всего упоминаются в контексте использования ИИ?,Баллы — Какие социальные проблемы чаще всего упоминаются в контексте использования ИИ?,Укажите ваш пол,"Укажите ваш возраст (цифрой)
","Укажите профиль вашего обучения
","Укажите уровень вашего образования
"
4,6,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Нет,0,"На основе связей, определенных программистами",0,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,Учиться на неструктурированных данных,0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Искусственным интеллектом,0,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Мужской,19,Технический,Бакалавриат
5,12,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более десяти,1,Да,1,На основе математико-логических принципов,1,Изображение -> видео,1,Затрудняюсь ответить,0,Решать широкий спектр задач,1,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Мужской,20,Гуманитарный,Бакалавриат
6,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> картинка,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Принимать решения в условиях неопределенности,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Искусственным интеллектом,0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Высокая частота ошибок на производстве с использованием ИИ,0,Мужской,19,Технический,Бакалавриат
7,3,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Более десяти,1,Затрудняюсь ответить,0,На основе математико-логических принципов,1,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Мужской,22,Гуманитарный,Магистратура
8,8,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,Учиться на неструктурированных данных,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Искусственным интеллектом,0,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,22,Гуманитарный,Магистратура
9,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Затрудняюсь ответить,0,Более десяти,1,Да,1,На основе квантовой запутанности,0,Изображение -> число,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Учиться на неструктурированных данных,0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,Затрудняюсь ответить,0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,21,Гуманитарный,Магистратура
10,8,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Нет,0,"На основе связей, определенных программистами",0,Изображение -> видео,1," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Честность, предотвращение вреда",0,Отсутствие правовой определенности в случае сбоя ИИ,0,Нехватка чипов в промышленности из-за высокой вычислительной стоимости AIR,0,Женский,22,Гуманитарный,Магистратура
11,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> вектор,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Принимать решения в условиях неопределенности,0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Мужской,23,Гуманитарный,Магистратура
12,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Затрудняюсь ответить,0,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> видео,1," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Затрудняюсь ответить,0,Затрудняюсь ответить,0,"Честность, предотвращение вреда",0,Отсутствие правовой определенности в случае сбоя ИИ,0,Затрудняюсь ответить,0,Женский,20,Гуманитарный,Бакалавриат
13,5,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Затрудняюсь ответить,0,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,"Искусственный интеллект написал, а человек отредактировал",0,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Затрудняюсь ответить,0,Женский,21,Гуманитарный,Бакалавриат
